,event_index,event_timestamp,input_device,event_type,event_code,event_value
90,10,83458.761269,/dev/input/event2:,0003,0039,00000000
91,10,83458.761269,/dev/input/event2:,0003,0030,0000000e
92,10,83458.761269,/dev/input/event2:,0003,003a,00000081
93,10,83458.761269,/dev/input/event2:,0003,0035,000017b3
94,10,83458.761269,/dev/input/event2:,0003,0036,00003faa
95,10,83458.761269,/dev/input/event2:,0000,0000,00000000
96,10,83458.838554,/dev/input/event2:,0003,003a,00000000
97,10,83458.838554,/dev/input/event2:,0003,0039,ffffffff
98,10,83458.838554,/dev/input/event2:,0000,0000,00000000
99,11,83462.521077,/dev/input/event2:,0003,0039,00000000
100,11,83462.521077,/dev/input/event2:,0003,0030,0000000f
101,11,83462.521077,/dev/input/event2:,0003,003a,00000081
102,11,83462.521077,/dev/input/event2:,0003,0035,000036a2
103,11,83462.521077,/dev/input/event2:,0003,0036,000056dd
104,11,83462.521077,/dev/input/event2:,0000,0000,00000000
105,11,83462.621711,/dev/input/event2:,0003,003a,00000000
106,11,83462.621711,/dev/input/event2:,0003,0039,ffffffff
107,11,83462.621711,/dev/input/event2:,0000,0000,00000000
108,12,83464.459707,/dev/input/event2:,0003,0039,00000000
109,12,83464.459707,/dev/input/event2:,0003,0030,00000010
110,12,83464.459707,/dev/input/event2:,0003,003a,00000081
111,12,83464.459707,/dev/input/event2:,0003,0035,00003b60
112,12,83464.459707,/dev/input/event2:,0003,0036,00004899
113,12,83464.459707,/dev/input/event2:,0000,0000,00000000
114,12,83464.549927,/dev/input/event2:,0003,003a,00000000
115,12,83464.549927,/dev/input/event2:,0003,0039,ffffffff
116,12,83464.549927,/dev/input/event2:,0000,0000,00000000
117,13,83477.703378,/dev/input/event2:,0003,0039,00000000
118,13,83477.703378,/dev/input/event2:,0003,0030,00000011
119,13,83477.703378,/dev/input/event2:,0003,003a,00000081
120,13,83477.703378,/dev/input/event2:,0003,0035,00003901
121,13,83477.703378,/dev/input/event2:,0003,0036,000030dd
122,13,83477.703378,/dev/input/event2:,0000,0000,00000000
123,13,83477.814857,/dev/input/event2:,0003,003a,00000000
124,13,83477.814857,/dev/input/event2:,0003,0039,ffffffff
125,13,83477.814857,/dev/input/event2:,0000,0000,00000000
126,14,83486.066863,/dev/input/event2:,0003,0039,00000000
127,14,83486.066863,/dev/input/event2:,0003,0030,00000012
128,14,83486.066863,/dev/input/event2:,0003,003a,00000081
129,14,83486.066863,/dev/input/event2:,0003,0035,0000425e
130,14,83486.066863,/dev/input/event2:,0000,0000,00000000
131,14,83486.166464,/dev/input/event2:,0003,003a,00000000
132,14,83486.166464,/dev/input/event2:,0003,0039,ffffffff
133,14,83486.166464,/dev/input/event2:,0000,0000,00000000
134,15,83487.793313,/dev/input/event2:,0003,0039,00000000
135,15,83487.793313,/dev/input/event2:,0003,0030,00000013
136,15,83487.793313,/dev/input/event2:,0003,003a,00000081
137,15,83487.793313,/dev/input/event2:,0003,0035,0000301d
138,15,83487.793313,/dev/input/event2:,0003,0036,00004576
139,15,83487.793313,/dev/input/event2:,0000,0000,00000000
140,15,83487.896700,/dev/input/event2:,0003,003a,00000000
141,15,83487.896700,/dev/input/event2:,0003,0039,ffffffff
142,15,83487.896700,/dev/input/event2:,0000,0000,00000000
143,16,83551.479917,/dev/input/event2:,0003,0039,00000000
144,16,83551.479917,/dev/input/event2:,0003,0030,00000014
145,16,83551.479917,/dev/input/event2:,0003,003a,00000081
146,16,83551.479917,/dev/input/event2:,0003,0035,00002fa4
147,16,83551.479917,/dev/input/event2:,0003,0036,00003f21
148,16,83551.479917,/dev/input/event2:,0000,0000,00000000
149,16,83551.580661,/dev/input/event2:,0003,003a,00000000
150,16,83551.580661,/dev/input/event2:,0003,0039,ffffffff
151,16,83551.580661,/dev/input/event2:,0000,0000,00000000
152,17,83600.240767,/dev/input/event2:,0003,0039,00000000
153,17,83600.240767,/dev/input/event2:,0003,0030,00000015
154,17,83600.240767,/dev/input/event2:,0003,003a,00000081
155,17,83600.240767,/dev/input/event2:,0003,0035,00005629
156,17,83600.240767,/dev/input/event2:,0003,0036,000043dd
157,17,83600.240767,/dev/input/event2:,0000,0000,00000000
